id,time,end,type,sc_id,source,orbit,description,discussion,tag
46540,"2015-11-27 07:06:34 UTC","2015-11-27 07:10:04 UTC",burst_segment,mms,Burst,260,"Bow Shock Crossings - quasi-parallel shock",undefined,null
47922,"2016-01-05 20:51:15 UTC","2016-01-06 10:01:27 UTC",sitl_report,mms,SITL,300,"Generated:  BS with relatively large overshoot and reformation signature...  magnetosheath CS (?) with density enhancement...  magnetosheath CS(?) with very small |B| = 0.15 nT...  quasi-parallel BS",undefined,null
47914,"2016-01-05 23:48:34 UTC","2016-01-05 23:50:14 UTC",burst_segment,mms,Burst,300,"quasi-parallel BS",undefined,null
47915,"2016-01-05 23:50:14 UTC","2016-01-05 23:52:04 UTC",burst_segment,mms,Burst,300,"quasi-parallel BS",undefined,null
47918,"2016-01-06 01:30:24 UTC","2016-01-06 01:32:04 UTC",burst_segment,mms,Burst,300,"quasi-parallel BS",undefined,null
47919,"2016-01-06 01:32:04 UTC","2016-01-06 01:33:54 UTC",burst_segment,mms,Burst,300,"quasi-parallel BS",undefined,null
48672,"2016-01-29 19:33:34 UTC","2016-01-30 06:59:05 UTC",sitl_report,mms,SITL,324,"Generated:   slow low-shear full MP crossing...  MSH current sheet, jet Vz=-100 km/s, strong E waves...  MSH current sheet, possible jet Vz...  MSH current sheets, jet Vz=-150 km/s...  MSP separatrix, Vz=-100 km/s, strong E waves...  full MP crossing, FTE on MSP side, Vz jet,...  full MP crossing, jet Vy...  full MP crossing, jet Vz=+ 80 km/s...  full MP crossing, jet Vz=-100 km/s...  full MP crossing, jet Vz=-120 km/s...  full MP crossing, jet Vz=-130 km/s...  full MP crossing, jet Vz=-80 km/s...  full MP crossing, jet reversal Vz...  full MP crossing, jet reversal Vz, possible diffusion region...  full MP crossing, possible Vz jet...  full MP crossing, possible jet (ExB)z= -125 km/s...  high-shear full MP crossing, jet (ExB)z = - 80 km/s...  high-shear full MP crossing, jet Vz=-125 km/s...  high-shear quasi-full MP crossing, jet Vz=-140 km/s, possible jete  reversal...  low-shear full MP crossing, jet Vz= -150 km/s, strong E fields...  partial MP crossing, jet Vz, strong E waves...  partial MP crossing, jet",undefined,null
65653,"2016-12-12 04:09:38 UTC","2016-12-12 18:02:59 UTC",sitl_report,mms,SITL,643,"Very active ROI. Multiple full and partial crossings, moderate to low shear. Long time spend in quasi-parallel magnetosheath. 2 Shock crossings.",undefined,null
66819,"2016-12-26 06:41:34 UTC","2016-12-26 06:43:24 UTC",burst_segment,mms,Burst,657,"MSH near BS (quasi-parallel?)",undefined,null
66821,"2016-12-26 07:13:44 UTC","2016-12-26 07:14:34 UTC",burst_segment,mms,Burst,657,"Messy and fast BS crossing, quasi-parallel?",undefined,null
69416,"2017-01-26 08:13:03 UTC","2017-01-26 08:17:13 UTC",burst_segment,mms,Burst,688,"Quasi-parallel Bow shock crossing",undefined,null
69520,"2017-01-26 23:15:17 UTC","2017-01-27 12:57:06 UTC",sitl_report,mms,SITL,689,"Extremely active ROI. MMS captured the inbound magnetopause but missed the outbound (by about 45 minutes). Many full MP crossings with jets selected, a few of them with jet reversals and possible diffusion regions. Many partial MP crossings with jets also selected.  MMS stayed mostly in the magnetosheath and in the solar wind and crossed the bow shock many times. A few quasi-parallel bow shock crossings selected, as well as several solar wind and magnetosheath current sheets with reconnection signatures. MMS1 hfesp spectra missing after 0015.",undefined,null
96437,"2017-01-27 01:03:23 UTC","2017-01-27 01:04:03 UTC",burst_segment,mms,Burst,689,"Quasi-parallel shock crossing",undefined,null
96107,"2017-01-27 04:30:13 UTC","2017-01-27 04:31:33 UTC",burst_segment,mms,Burst,689,"Quasi-parallel shock crossing.",undefined,null
69708,"2017-01-29 23:00:18 UTC","2017-01-30 12:42:03 UTC",sitl_report,mms,SITL,692,"Busy ROI with lots of bow shock crossings and a long magnetopause crossing on the outbound. Tried to select complete quasi-perp and quasi-parallel shocks. Left out some long partial bow shocks becasue there were too many. A pristine SW interval was also selected.",undefined,null
95734,"2017-01-31 10:03:23 UTC","2017-01-31 10:04:53 UTC",burst_segment,mms,Burst,693,"quasi-parallel and quasi=perp shocks",undefined,null
96506,"2017-03-16 20:38:25 UTC","2017-03-17 16:35:42 UTC",sitl_report,mms,SITL,729,"All four spacecraft were in the solar wind or magnetosheath. A quasi-parallel bow shock is selected for MMS 1 and 2 (magnetosheath for MMS 4).",undefined,null
97146,"2017-03-17 00:20:35 UTC","2017-03-17 00:23:13 UTC",burst_segment,mms,Burst,729,"quasi-parallel bow shock (MMS1,2) and magnetosheath (MMS4)",undefined,null
96505,"2017-03-17 00:20:41 UTC","2017-03-17 00:23:11 UTC",burst_segment,mms,Burst,729,"quasi-parallel bow shock (MMS1,2) and magnetosheath (MMS4)",undefined,null
110044,"2017-10-04 20:39:53 UTC","2017-10-04 20:44:53 UTC",burst_segment,mms,Burst,803,"Magnetosheath B rotation and onset of turbulence behind quasi-para shock (SoP)",undefined,null
110189,"2017-10-06 21:11:33 UTC","2017-10-06 21:14:03 UTC",burst_segment,mms,Burst,804,"Marginally quasi-para bow shock and foreshock region",undefined,null
110843,"2017-10-18 00:00:28 UTC","2017-10-19 17:58:39 UTC",sitl_report,mms,SITL,808,"ROI largely spent in upstream solar wind, with inbound pass in the sheath. Lots of bow shock crossings (quasi-perp and quasi-parallel) and foreshock intervals, a few foreshock transients, some pristine solar wind, and current sheets selected. Magnetopause crossings at the end, some possible KHI or flux ropes? Some low shear crossings selected.",undefined,null
112619,"2017-11-13 16:58:33 UTC","2017-11-13 17:00:33 UTC",burst_segment,mms,Burst,817,"quasi-parallel shock upstream",undefined,null
112620,"2017-11-13 17:00:33 UTC","2017-11-13 17:02:43 UTC",burst_segment,mms,Burst,817,"quasi-parallel shock upstream",undefined,null
112621,"2017-11-13 17:02:43 UTC","2017-11-13 17:05:03 UTC",burst_segment,mms,Burst,817,"quasi-parallel shock with wave activity",undefined,null
112622,"2017-11-13 17:05:03 UTC","2017-11-13 17:07:13 UTC",burst_segment,mms,Burst,817,"quasi-parallel shock downstream",undefined,null
112623,"2017-11-13 17:07:13 UTC","2017-11-13 17:09:23 UTC",burst_segment,mms,Burst,817,"quasi-parallel shock downstream",undefined,null
113038,"2017-11-20 07:10:13 UTC","2017-11-20 07:12:03 UTC",burst_segment,mms,Burst,820,"quasi-parallel shock",undefined,null
113040,"2017-11-20 07:14:23 UTC","2017-11-20 07:15:43 UTC",burst_segment,mms,Burst,820,"quasi-parallel shock",undefined,null
113041,"2017-11-20 07:15:43 UTC","2017-11-20 07:17:13 UTC",burst_segment,mms,Burst,820,"quasi-parallel shock",undefined,null
113043,"2017-11-20 07:20:13 UTC","2017-11-20 07:22:03 UTC",burst_segment,mms,Burst,820,"quasi-parallel shock with rippling signature",undefined,null
113044,"2017-11-20 07:22:03 UTC","2017-11-20 07:23:53 UTC",burst_segment,mms,Burst,820,"quasi-parallel shock",undefined,null
113106,"2017-11-22 05:22:03 UTC","2017-11-22 05:24:03 UTC",burst_segment,mms,Burst,820,"Quasi-parallel shock with energetic ions",undefined,null
113107,"2017-11-22 05:24:03 UTC","2017-11-22 05:25:53 UTC",burst_segment,mms,Burst,820,"Quasi-parallel shock with energetic ions",undefined,null
113108,"2017-11-22 05:25:53 UTC","2017-11-22 05:27:53 UTC",burst_segment,mms,Burst,820,"Quasi-parallel shock with energetic ions",undefined,null
113109,"2017-11-22 05:27:53 UTC","2017-11-22 05:29:53 UTC",burst_segment,mms,Burst,820,"Quasi-parallel shock with energetic ions",undefined,null
113110,"2017-11-22 05:32:43 UTC","2017-11-22 05:35:03 UTC",burst_segment,mms,Burst,820,"Quasi-parallel shock crossing",undefined,null
113111,"2017-11-22 05:35:03 UTC","2017-11-22 05:37:23 UTC",burst_segment,mms,Burst,820,"Quasi-parallel shock crossing",undefined,null
113112,"2017-11-22 05:37:23 UTC","2017-11-22 05:39:43 UTC",burst_segment,mms,Burst,820,"Quasi-parallel shock crossing",undefined,null
113113,"2017-11-22 05:46:53 UTC","2017-11-22 05:50:13 UTC",burst_segment,mms,Burst,820,"Turbulent current sheets downstream of quasi-parallel shock",undefined,null
113114,"2017-11-22 05:51:23 UTC","2017-11-22 05:53:03 UTC",burst_segment,mms,Burst,820,"Turbulent current sheets downstream of quasi-parallel shock",undefined,null
113158,"2017-11-23 04:54:23 UTC","2017-11-23 04:56:43 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS",undefined,null
113159,"2017-11-23 04:56:43 UTC","2017-11-23 04:59:03 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS",undefined,null
113160,"2017-11-23 04:59:03 UTC","2017-11-23 05:01:23 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with large diffB",undefined,null
113161,"2017-11-23 05:01:23 UTC","2017-11-23 05:03:33 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS",undefined,null
113162,"2017-11-23 05:03:33 UTC","2017-11-23 05:06:13 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with large diffB",undefined,null
113163,"2017-11-23 05:06:13 UTC","2017-11-23 05:08:13 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS",undefined,null
113164,"2017-11-23 05:08:13 UTC","2017-11-23 05:11:13 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with large diffB",undefined,null
113165,"2017-11-23 05:11:13 UTC","2017-11-23 05:13:03 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS",undefined,null
113166,"2017-11-23 05:17:43 UTC","2017-11-23 05:20:03 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS & large diffB",undefined,null
113167,"2017-11-23 05:20:03 UTC","2017-11-23 05:22:23 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS & large diffB",undefined,null
113168,"2017-11-23 05:22:23 UTC","2017-11-23 05:24:43 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS & large diffB",undefined,null
113169,"2017-11-23 05:24:43 UTC","2017-11-23 05:27:03 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS & large diffB",undefined,null
113170,"2017-11-23 05:27:03 UTC","2017-11-23 05:29:23 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS & large diffB",undefined,null
113171,"2017-11-23 05:29:23 UTC","2017-11-23 05:31:43 UTC",burst_segment,mms,Burst,821,"quasi-parallel shocks with possible SLAMS & large diffB",undefined,null
113172,"2017-11-23 05:34:03 UTC","2017-11-23 05:36:13 UTC",burst_segment,mms,Burst,821,"quasi-parallel shock with with possible SLAMS & large diffB",undefined,null
113173,"2017-11-23 05:36:13 UTC","2017-11-23 05:38:23 UTC",burst_segment,mms,Burst,821,"quasi-parallel shock with with possible SLAMS & large diffB",undefined,null
113174,"2017-11-23 05:38:23 UTC","2017-11-23 05:40:33 UTC",burst_segment,mms,Burst,821,"quasi-parallel shock with with possible SLAMS & large diffB",undefined,null
113175,"2017-11-23 05:40:33 UTC","2017-11-23 05:42:43 UTC",burst_segment,mms,Burst,821,"quasi-parallel shock with with possible SLAMS & large diffB",undefined,null
113176,"2017-11-23 05:42:43 UTC","2017-11-23 05:44:53 UTC",burst_segment,mms,Burst,821,"quasi-parallel shock with with possible SLAMS & large diffB",undefined,null
113177,"2017-11-23 05:44:53 UTC","2017-11-23 05:47:03 UTC",burst_segment,mms,Burst,821,"quasi-parallel shock with with possible SLAMS & large diffB",undefined,null
113178,"2017-11-23 05:47:03 UTC","2017-11-23 05:49:13 UTC",burst_segment,mms,Burst,821,"quasi-parallel shock upstream with with possible SLAMS",undefined,null
114123,"2017-12-09 20:47:58 UTC","2017-12-12 07:58:00 UTC",sitl_report,mms,SITL,827,"ROI 1: A few low-shear full MP crossings, many MSH thin CSs with large J and jets, several quasi-parallel BS crossings including He++ ions and possible HFA, a few intervals of FS waves and heated ions, several SW CSs and other small-scale structures. ROI 2: Several SW thin CSs and a few trains of turbulent CSs with large J and possible reconnection signatures. One-hour interval of quiet pristine slow SW with FPI solar wind table ON has been included. ROI 3: Several SW CSs as well as trains of turbulent CSs, some of them with possible reconnection signatures.",undefined,null
114091,"2017-12-10 01:05:33 UTC","2017-12-10 01:08:03 UTC",burst_segment,mms,Burst,827,"Quasi-parallel shock crossing with large J and alpha heating",undefined,null
114332,"2017-12-12 16:25:59 UTC","2017-12-15 03:48:01 UTC",sitl_report,mms,SITL,828,"ROI 1: Full outbound high-shear MP crossing, two consecutive MP crossings with low (first) and high (second) shear under rapid IMF change, a few quasi-par shock crossings with turbulent current sheets, a few trains of upstream fast waves/shocklets with large J and particle heating, several SW current sheets with possible jets. ROI 2: Two large-scale SW current sheets with internal small-scale structures, several SW small-scale current sheets with possible jets. ROI 3: Several SW small-scale current sheets with possible jets, SW shocklets with large J and electron and ion heating, a few quasi-perp shock crossings with reflected/heated ions and strong E/B fluctuations, a few quasi-par shock intervals with turbulent current sheets, full inbound low-shear MP crossing and several partial MP/separatrix crossings.",undefined,null
114466,"2017-12-18 11:49:33 UTC","2017-12-18 11:51:53 UTC",burst_segment,mms,Burst,830,"Three quasi-parallel bow shock crossings",undefined,null
114467,"2017-12-18 11:51:53 UTC","2017-12-18 11:54:23 UTC",burst_segment,mms,Burst,830,"Three quasi-parallel bow shock crossings",undefined,null
114468,"2017-12-18 11:54:23 UTC","2017-12-18 11:56:43 UTC",burst_segment,mms,Burst,830,"Three quasi-parallel bow shock crossings",undefined,null
114469,"2017-12-18 11:56:43 UTC","2017-12-18 11:59:13 UTC",burst_segment,mms,Burst,830,"Three quasi-parallel bow shock crossings",undefined,null
114477,"2017-12-18 13:06:13 UTC","2017-12-18 13:07:43 UTC",burst_segment,mms,Burst,830,"Current sheet or SLAMS in quasi-parallel foreshock with energetic ions and electrons",undefined,null
114478,"2017-12-18 13:07:43 UTC","2017-12-18 13:09:23 UTC",burst_segment,mms,Burst,830,"Current sheet or SLAMS in quasi-parallel foreshock with energetic ions and electrons",undefined,null
114480,"2017-12-18 13:30:03 UTC","2017-12-18 13:32:03 UTC",burst_segment,mms,Burst,830,"Messy in/out quasi-parallel crossings",undefined,null
114481,"2017-12-18 13:32:03 UTC","2017-12-18 13:33:53 UTC",burst_segment,mms,Burst,830,"Messy in/out quasi-parallel crossings",undefined,null
114482,"2017-12-18 13:33:53 UTC","2017-12-18 13:35:53 UTC",burst_segment,mms,Burst,830,"Messy in/out quasi-parallel crossings",undefined,null
114483,"2017-12-18 13:44:03 UTC","2017-12-18 13:45:43 UTC",burst_segment,mms,Burst,830,"Large amplitude ULF waves in quasi-parallel foreshock",undefined,null
114484,"2017-12-18 13:45:43 UTC","2017-12-18 13:47:23 UTC",burst_segment,mms,Burst,830,"Large amplitude ULF waves in quasi-parallel foreshock",undefined,null
114488,"2017-12-18 14:12:33 UTC","2017-12-18 14:14:03 UTC",burst_segment,mms,Burst,830,"Large amplitude ULF waves in the quasi-parallel foreshock",undefined,null
114489,"2017-12-18 14:14:03 UTC","2017-12-18 14:16:13 UTC",burst_segment,mms,Burst,830,"Large amplitude ULF waves in the quasi-parallel foreshock",undefined,null
114490,"2017-12-18 14:16:13 UTC","2017-12-18 14:18:33 UTC",burst_segment,mms,Burst,830,"Large amplitude ULF waves in the quasi-parallel foreshock",undefined,null
114491,"2017-12-18 14:18:33 UTC","2017-12-18 14:20:43 UTC",burst_segment,mms,Burst,830,"Large amplitude ULF waves in the quasi-parallel foreshock",undefined,null
114499,"2017-12-18 15:43:23 UTC","2017-12-18 15:45:03 UTC",burst_segment,mms,Burst,830,"Large amplitude ULF waves in the quasi-parallel foreshock",undefined,null
114500,"2017-12-18 15:45:03 UTC","2017-12-18 15:46:53 UTC",burst_segment,mms,Burst,830,"Large amplitude ULF waves in the quasi-parallel foreshock",undefined,null
114501,"2017-12-18 15:46:53 UTC","2017-12-18 15:48:33 UTC",burst_segment,mms,Burst,830,"Large amplitude ULF waves in the quasi-parallel foreshock",undefined,null
114671,"2017-12-21 03:14:55 UTC","2017-12-23 15:06:59 UTC",sitl_report,mms,SITL,831,"MMS caught the outbound MP crossing and passed first into quasi-perp sheath with large amplitude waves (likely mirror mode) followed by a messy period of quasi-para sheath.  The bow shock crossing was also messy and prolonged in the quasi-para region, after which many SLAMS and shocklets were observed as well as a few young HFAs.  There were also some shocklets with higher frequency ripples observed on one side of their nonlinearly steepened edges in the ion foreshock.  A >10 min period of pristine solar wind was captured.  The inbound ROI was mostly in pristine solar wind and quasi-perp sheath before a prolonged transition through boundary layer into the magnetosphere.",undefined,null
114642,"2017-12-21 07:49:33 UTC","2017-12-21 07:51:23 UTC",burst_segment,mms,Burst,831,"Multiple quasi-parallel bow shock crossings",undefined,null
114643,"2017-12-21 07:51:23 UTC","2017-12-21 07:53:23 UTC",burst_segment,mms,Burst,831,"Multiple quasi-parallel bow shock crossings",undefined,null
114644,"2017-12-21 07:53:23 UTC","2017-12-21 07:55:53 UTC",burst_segment,mms,Burst,831,"Field reversals, magnetic nulls, and Vz and Vy reversals near quasi-parallel bow shock",undefined,null
114645,"2017-12-21 07:57:43 UTC","2017-12-21 08:00:03 UTC",burst_segment,mms,Burst,831,"Quasi-parallel bow shock crossings (multiple)",undefined,null
114646,"2017-12-21 08:00:03 UTC","2017-12-21 08:02:23 UTC",burst_segment,mms,Burst,831,"Quasi-parallel bow shock crossings (multiple) and/or shocklet/SLAMS",undefined,null
114647,"2017-12-21 08:02:23 UTC","2017-12-21 08:04:53 UTC",burst_segment,mms,Burst,831,"Quasi-parallel bow shock crossings (multiple) and/or shocklet/SLAMS",undefined,null
114648,"2017-12-21 08:04:53 UTC","2017-12-21 08:07:13 UTC",burst_segment,mms,Burst,831,"Quasi-parallel bow shock crossings (multiple) and/or shocklet/SLAMS",undefined,null
114649,"2017-12-21 08:07:13 UTC","2017-12-21 08:09:43 UTC",burst_segment,mms,Burst,831,"Quasi-parallel bow shock crossings (multiple) and/or shocklet/SLAMS",undefined,null
114650,"2017-12-21 08:09:43 UTC","2017-12-21 08:12:03 UTC",burst_segment,mms,Burst,831,"Quasi-parallel bow shock crossings (multiple) and/or shocklet/SLAMS",undefined,null
115021,"2017-12-26 18:28:48 UTC","2017-12-29 06:31:00 UTC",sitl_report,mms,SITL,833,"Few Travelling Compression Regions (TCRs)/FTEs are observed around the magnetopause crossings. After the outbound crossing of the magnetopause, extended periods of mirror mode waves and magnetosheath turbulence are observed before MMS encounter the bow shock. Foreshock waves and SLAMS are observed in the solar wind. Multiple crossing of quasi-parallel shock was encounter during the inbound part of the orbit. Mirror mode waves and possible TCRs/FTEs are observed before and after the MP crossing, respectively.",undefined,null
115076,"2017-12-29 00:17:53 UTC","2017-12-29 00:20:53 UTC",burst_segment,mms,Burst,833,"quasi-parallel shock with overshoot",undefined,null
115077,"2017-12-29 00:28:23 UTC","2017-12-29 00:30:43 UTC",burst_segment,mms,Burst,833,"Multiple Quasi-parallel bow shock crossings",undefined,null
115078,"2017-12-29 00:30:43 UTC","2017-12-29 00:32:53 UTC",burst_segment,mms,Burst,833,"Multiple Quasi-parallel bow shock crossings",undefined,null
115079,"2017-12-29 00:32:53 UTC","2017-12-29 00:35:13 UTC",burst_segment,mms,Burst,833,"Multiple Quasi-parallel bow shock crossings",undefined,null
115080,"2017-12-29 00:35:13 UTC","2017-12-29 00:37:23 UTC",burst_segment,mms,Burst,833,"Multiple Quasi-parallel bow shock crossings",undefined,null
115081,"2017-12-29 00:37:23 UTC","2017-12-29 00:39:43 UTC",burst_segment,mms,Burst,833,"Multiple Quasi-parallel bow shock crossings",undefined,null
115082,"2017-12-29 00:39:43 UTC","2017-12-29 00:42:03 UTC",burst_segment,mms,Burst,833,"Multiple Quasi-parallel bow shock crossings",undefined,null
115083,"2017-12-29 00:42:03 UTC","2017-12-29 00:44:13 UTC",burst_segment,mms,Burst,833,"Multiple Quasi-parallel bow shock crossings",undefined,null
115084,"2017-12-29 00:44:13 UTC","2017-12-29 00:46:33 UTC",burst_segment,mms,Burst,833,"Multiple Quasi-parallel bow shock crossings",undefined,null
115347,"2018-01-01 12:53:03 UTC","2018-01-01 12:57:53 UTC",burst_segment,mms,Burst,835,"Quasi-parallel bow shock",undefined,null
115541,"2018-01-04 05:27:47 UTC","2018-01-06 17:51:00 UTC",sitl_report,mms,SITL,836,"Higher shear magnetopause crossing on the outbound with partial re-entry to the boundary layers and magnetopause and Vz flow reversal. Turbulent magnetosheath, with extended crossing through a quasi-parallel bow shock into the ion foreshock region. Several instances of structures and discontinuities in the solar wind before crossing back through a quasi-parallel and oblique bow shocks on the inbound leg. Low shear magnetopause crossing on the inbound, but with an interesting partial crossing deeper near the end of the ROI.",undefined,null
116247,"2018-01-21 03:26:45 UTC","2018-01-23 15:41:38 UTC",sitl_report,mms,SITL,842,"MMS caught both the inbound and outbound magnetopause crossings, which were both prolonged and low magnetic shear.  Several periods of sheath activity and quasi-parallel foreshock activity were captured.  Multiple bow shock crossings were captured plus 10 minutes of pristine solar wind under steady IMF.  On the inbound pass, several FTEs with possible reconnection signatures were captured with high Cat-2 FOM",undefined,null
116239,"2018-01-21 06:43:23 UTC","2018-01-21 06:44:43 UTC",burst_segment,mms,Burst,842,"Quasi-parallel bow shock crossing",undefined,null
116241,"2018-01-21 06:50:53 UTC","2018-01-21 06:52:53 UTC",burst_segment,mms,Burst,842,"Multiple quasi-parallel bow shock crossings and turbulent magnetosheath",undefined,null
116242,"2018-01-21 06:52:53 UTC","2018-01-21 06:54:43 UTC",burst_segment,mms,Burst,842,"Multiple quasi-parallel bow shock crossings and turbulent magnetosheath",undefined,null
116243,"2018-01-21 06:54:43 UTC","2018-01-21 06:56:43 UTC",burst_segment,mms,Burst,842,"Multiple quasi-parallel bow shock crossings and turbulent magnetosheath",undefined,null
116328,"2018-01-23 09:05:33 UTC","2018-01-23 09:07:43 UTC",burst_segment,mms,Burst,842,"Quasi-parallel shock crossings/activity",undefined,null
116329,"2018-01-23 09:07:43 UTC","2018-01-23 09:09:53 UTC",burst_segment,mms,Burst,842,"Quasi-parallel shock crossings/activity",undefined,null
116331,"2018-01-23 09:14:13 UTC","2018-01-23 09:16:23 UTC",burst_segment,mms,Burst,842,"Quasi-parallel bow shock crossing",undefined,null
116332,"2018-01-23 09:16:23 UTC","2018-01-23 09:18:33 UTC",burst_segment,mms,Burst,842,"Quasi-parallel bow shock crossing",undefined,null
116333,"2018-01-23 09:21:13 UTC","2018-01-23 09:23:03 UTC",burst_segment,mms,Burst,842,"Quasi-parallel bow shock crossing",undefined,null
116334,"2018-01-23 09:23:03 UTC","2018-01-23 09:24:43 UTC",burst_segment,mms,Burst,842,"Quasi-parallel bow shock crossing",undefined,null
116335,"2018-01-23 09:24:43 UTC","2018-01-23 09:26:33 UTC",burst_segment,mms,Burst,842,"Quasi-parallel bow shock crossing",undefined,null
116411,"2018-01-23 23:08:50 UTC","2018-01-26 11:00:43 UTC",sitl_report,mms,SITL,843,"MMS captured the magnetopause crossings on both the outbound and inbound ROIs. Both were prolonged and under low magnetic shear (northward B-sheath). Multiple bow shock crossings were captured, including some quasi-parallel bow shock activity and multiple foreshock transients.  A period of pristine solar wind was captured under steady IMF.  The highest FOM went to current sheets in the magnetosheath, of which there were many.",undefined,null
116472,"2018-01-26 07:53:13 UTC","2018-01-26 07:55:03 UTC",burst_segment,mms,Burst,843,"SLAMS and quasi-parallel bow shock",undefined,null
116473,"2018-01-26 07:55:03 UTC","2018-01-26 07:56:53 UTC",burst_segment,mms,Burst,843,"SLAMS and quasi-parallel bow shock",undefined,null
116475,"2018-01-26 08:18:43 UTC","2018-01-26 08:21:23 UTC",burst_segment,mms,Burst,843,"Quasi-parallel bow shock crossing",undefined,null
116476,"2018-01-26 08:22:43 UTC","2018-01-26 08:25:03 UTC",burst_segment,mms,Burst,843,"Series of foreshock transients (HFAs, FBs, and/or SLAMS) and quasi-parallel bow shock activity",undefined,null
116477,"2018-01-26 08:25:03 UTC","2018-01-26 08:27:13 UTC",burst_segment,mms,Burst,843,"Intense current sheet during series of foreshock transients (HFAs, FBs, and/or SLAMS) and quasi-parallel bow shock activity",undefined,null
